msn,work_order,point_id,rail,dx_value (mm),dy_value (mm),dz_value (mm)
11662,1016629434,FR035_MR0254R_RJ_0001_NFF,254R,-0.26,0.73,-1.29
11662,1016629434,FR035_MR0765L_SJ_0007_NFF,765L,-0.54,0.73,0.16
11662,1016629434,FR035_MR0765R_SJ_0007_NFF,765R,0.35,0.13,0.66
11664,1016557534,FR035_MR1292L_SJ_0015_NFF,1292L,0.01,1.85,2.20
11664,1016557534,FR035_MR1292R_SJ_0015_NFF,1292R,-0.01,0.89,0.11
11664,1016557534,FR035_MR0254L_RJ_0001_NFF,254L,0.57,3.45,-0.79
11664,1016557534,FR035_MR0254R_RJ_0001_NFF,254R,-0.44,0.64,-0.69
11664,1016557534,FR035_MR0765L_SJ_0007_NFF,765L,-0.44,1.65,1.04
11664,1016557534,FR035_MR0765R_SJ_0007_NFF,765R,-0.56,-0.04,0.20
11667,1016654231,FR035_MR1292L_SJ_0015_NFF,1292L,0.60,0.39,0.48
11667,1016654231,FR035_MR1292R_SJ_0015_NFF,1292R,-0.60,-0.19,0.59
11667,1016654231,FR035_MR0254L_RJ_0001_NFF,254L,0.12,1.16,0.12
11667,1016654231,FR035_MR0254R_RJ_0001_NFF,254R,-0.30,0.09,-0.25
11667,1016654231,FR035_MR0765L_SJ_0007_NFF,765L,-0.15,0.05,0.10
11667,1016654231,FR035_MR0765R_SJ_0007_NFF,765R,-0.43,-0.71,0.31
11668,1017286801,FR035_MR1292L_SJ_0015_NFF,1292L,0.30,1.04,-0.08
11668,1017286801,FR035_MR1292R_SJ_0015_NFF,1292R,-0.30,-0.97,0.94
11668,1017286801,FR035_MR0254L_RJ_0001_NFF,254L,0.45,2.66,-0.85
11668,1017286801,FR035_MR0254R_RJ_0001_NFF,254R,0.84,0.96,-1.65
11668,1017286801,FR035_MR0765L_SJ_0007_NFF,765L,0.31,1.82,-0.32
11668,1017286801,FR035_MR0765R_SJ_0007_NFF,765R,-0.88,2.09,-0.86
11669,1017343865,FR035_MR1292L_SJ_0015_NFF,1292L,-0.52,0.83,1.82
11669,1017343865,FR035_MR1292R_SJ_0015_NFF,1292R,0.52,-0.09,-0.65
11669,1017343865,FR035_MR0254L_RJ_0001_NFF,254L,0.05,0.80,-1.48
11669,1017343865,FR035_MR0254R_RJ_0001_NFF,254R,-0.58,0.97,-1.92
11669,1017343865,FR035_MR0765L_SJ_0007_NFF,765L,-0.23,-1.54,-0.05
11669,1017343865,FR035_MR0765R_SJ_0007_NFF,765R,-0.24,0.12,-0.04
11672,1016663754,FR035_MR1292L_SJ_0015_NFF,1292L,0.45,0.88,0.19
11672,1016663754,FR035_MR1292R_SJ_0015_NFF,1292R,-0.45,-1.27,0.30
11672,1016663754,FR035_MR0254L_RJ_0001_NFF,254L,-0.04,1.55,-0.20
11672,1016663754,FR035_MR0254R_RJ_0001_NFF,254R,-0.48,1.63,-0.33
11672,1016663754,FR035_MR0765L_SJ_0007_NFF,765L,0.05,-0.74,-0.01
11672,1016663754,FR035_MR0765R_SJ_0007_NFF,765R,-1.26,0.49,0.79
11674,1016681545,FR035_MR1292L_SJ_0015_NFF,1292L,0.05,-0.04,-0.47
11674,1016681545,FR035_MR1292R_SJ_0015_NFF,1292R,-0.05,-0.64,-0.19
11674,1016681545,FR035_MR0254L_RJ_0001_NFF,254L,0.46,0.93,-1.12
11674,1016681545,FR035_MR0254R_RJ_0001_NFF,254R,0.60,-1.29,-1.05
11674,1016681545,FR035_MR0765L_SJ_0007_NFF,765L,-0.27,-0.53,0.25
11674,1016681545,FR035_MR0765R_SJ_0007_NFF,765R,-0.28,-2.34,-0.11
11677,1016706974,FR035_MR1292L_SJ_0015_NFF,1292L,0.12,0.82,0.48
11677,1016706974,FR035_MR1292R_SJ_0015_NFF,1292R,-0.12,-1.05,-0.16
11677,1016706974,FR035_MR0254L_RJ_0001_NFF,254L,0.12,2.40,-1.63
11677,1016706974,FR035_MR0254R_RJ_0001_NFF,254R,0.10,-0.41,-1.87
11677,1016706974,FR035_MR0765L_SJ_0007_NFF,765L,-0.13,0.39,-0.85
11677,1016706974,FR035_MR0765R_SJ_0007_NFF,765R,-0.80,0.29,-0.35
11681,1017420011,FR035_MR1292L_SJ_0015_NFF,1292L,0.28,-0.10,0.17
11681,1017420011,FR035_MR1292R_SJ_0015_NFF,1292R,-0.28,0.88,-1.07
11681,1017420011,FR035_MR0254L_RJ_0001_NFF,254L,-0.63,-0.08,-0.97
11681,1017420011,FR035_MR0254R_RJ_0001_NFF,254R,-0.61,-0.68,-0.93
11681,1017420011,FR035_MR0765L_SJ_0007_NFF,765L,-0.62,0.09,-0.61
